                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.75801,                0.83531,                   1.19,                0.74198,                0.63932,                0.71549,                0.56717,                 1.0009,                 1.2394,                 1.4054,             0.00043325,             0.00043325,             0.00043325
                     36,                0.75571,                0.81398,                 1.1876,                0.70473,                0.67035,                0.72058,                0.56272,                  1.008,                 1.2291,                 1.4177,              0.0004085,              0.0004085,              0.0004085
                     37,                 0.7535,                  0.801,                 1.1875,                0.78408,                0.63732,                0.74111,                0.58648,                0.99009,                 1.2032,                 1.4022,             0.00038375,             0.00038375,             0.00038375
                     38,                0.74859,                0.79478,                 1.1747,                0.74465,                0.66456,                0.72749,                0.57972,                 1.0284,                 1.3249,                  1.445,               0.000359,               0.000359,               0.000359
                     39,                0.73274,                0.78698,                 1.1801,                0.74378,                0.68136,                0.73249,                0.57689,                 1.0149,                 1.1835,                 1.4261,             0.00033425,             0.00033425,             0.00033425
                     40,                0.72817,                 0.7575,                 1.1712,                0.75782,                0.64478,                0.73152,                0.57967,                 1.0077,                 1.2658,                  1.427,              0.0003095,              0.0003095,              0.0003095
                     41,                0.69532,                0.66833,                 1.1533,                 0.7521,                0.63413,                 0.7243,                  0.578,                0.98842,                 1.2838,                 1.4168,             0.00028475,             0.00028475,             0.00028475
                     42,                0.68285,                0.62372,                 1.1432,                0.76802,                0.61548,                0.71995,                0.56957,                 1.0165,                 1.2859,                 1.4459,                0.00026,                0.00026,                0.00026
                     43,                0.66243,                0.59729,                 1.1267,                0.71821,                0.68099,                0.73456,                0.58817,                0.99451,                  1.273,                 1.4243,             0.00023525,             0.00023525,             0.00023525
                     44,                0.65482,                0.59158,                 1.1198,                0.74347,                 0.6699,                0.74067,                0.59214,                0.98921,                 1.2796,                 1.4202,              0.0002105,              0.0002105,              0.0002105
                     45,                0.64893,                0.57211,                 1.1093,                0.76003,                0.70279,                  0.749,                0.59987,                0.99388,                 1.2771,                 1.4459,             0.00018575,             0.00018575,             0.00018575
                     46,                0.63147,                0.55454,                 1.0975,                 0.8042,                0.63706,                 0.7373,                0.59286,                0.98739,                 1.2601,                 1.4195,               0.000161,               0.000161,               0.000161
                     47,                0.62473,                0.54294,                 1.0925,                0.75306,                 0.6502,                0.72717,                0.58172,                0.99398,                 1.3311,                 1.4324,             0.00013625,             0.00013625,             0.00013625
                     48,                 0.6175,                 0.5307,                 1.0957,                0.76742,                0.65519,                0.73467,                0.58686,                0.98989,                 1.2912,                 1.4276,              0.0001115,              0.0001115,              0.0001115
                     49,                0.60282,                0.51112,                 1.0813,                0.78759,                0.65127,                 0.7474,                0.59914,                0.98529,                 1.2741,                  1.427,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.59989,                0.50144,                 1.0731,                0.76106,                0.66477,                0.74424,                 0.5986,                0.99321,                 1.3235,                 1.4313,                6.2e-05,                6.2e-05,                6.2e-05
